 Name,Memory,Compute Units (ECU),vCPUs,Storage,Linux On Demand cost,Linux Reserved cost
===========,===========,===========,===========,===========,===========,===========
 t2.nano,0.5 GB,Burstable,1 vCPUs,0 GB (EBS only),$0.006 hourly,$0.005 hourly
 t2.micro,1.0 GB,Burstable,1 vCPUs,0 GB (EBS only),$0.013 hourly,$0.009 hourly
 t2.small,2.0 GB,Burstable,1 vCPUs,0 GB (EBS only),$0.026 hourly,$0.018 hourly
 t2.medium,4.0 GB,Burstable,2 vCPUs,0 GB (EBS only),$0.052 hourly,$0.036 hourly
 t2.large,8.0 GB,Burstable,2 vCPUs,0 GB (EBS only),$0.104 hourly,$0.072 hourly
 g2.8xlarge,60.0 GB,104 units,32 vCPUs,240.0 GB (2 * 120.0 GB SSD),$2.600 hourly,$1.896 hourly
 r3.large,15.25 GB,6.5 units,2 vCPUs,32.0 GB SSD,$0.166 hourly,$0.105 hourly
 r3.8xlarge,244.0 GB,104 units,32 vCPUs,640.0 GB (2 * 320.0 GB SSD),$2.660 hourly,$1.672 hourly
 i2.8xlarge,244.0 GB,104 units,32 vCPUs,6400.0 GB (8 * 800.0 GB SSD),$6.820 hourly,$3.392 hourly
 hi1.4xlarge,60.5 GB,35 units,16 vCPUs,2048.0 GB (2 * 1024.0 GB SSD),$3.100 hourly,$1.698 hourly
 hs1.8xlarge,117.0 GB,35 units,16 vCPUs,48000.0 GB (24 * 2000.0 GB),$4.600 hourly,$2.574 hourly
 m3.medium,3.75 GB,3 units,1 vCPUs,4.0 GB SSD,$0.067 hourly,$0.048 hourly
 m3.large,7.5 GB,6.5 units,2 vCPUs,32.0 GB SSD,$0.133 hourly,$0.095 hourly
 c3.large,3.75 GB,7 units,2 vCPUs,32.0 GB (2 * 16.0 GB SSD),$0.105 hourly,$0.073 hourly
 c3.8xlarge,60.0 GB,108 units,32 vCPUs,640.0 GB (2 * 320.0 GB SSD),$1.680 hourly,$1.168 hourly
 m1.small,1.7 GB,1 units,1 vCPUs,160.0 GB,$0.044 hourly,$0.028 hourly
